"species1","species2","D","p_eqD","CI_eqD_lower","CI_eqD_upper","p_sim1D","CI_sim1D_lower","CI_sim1D_upper","p_sim2D","CI_sim2D_lower","CI_sim2D_upper"
"Hillia_longifilamentosa","Hillia_panamensis",0.52790966403434,0.297029702970297,0.221830566292891,0.668867024801265,0.0099009900990099,0,0.176406166302706,0.0099009900990099,0,0.110073770768595
"Hillia_longifilamentosa","Hillia_parasitica",0.0705783378052108,0.811881188118812,0.0457986779956623,0.226355977918228,0.584158415841584,0.00192182155938768,0.254446304713072,0.594059405940594,0.000320761553885218,0.276233393009102
"Hillia_longifilamentosa","Hillia_pumila",0.224229385679614,0.752475247524752,0.124512128155916,0.44396081102008,0.0099009900990099,0,0.0888680624275449,0.0297029702970297,0,0.105124012504393
"Hillia_longifilamentosa","Hillia_tetrandra",0.506630749921597,0.0891089108910891,0.101122323829408,0.533629276897372,0.0099009900990099,0,0.238670631822425,0.0099009900990099,0,0.186531128485291
"Hillia_longifilamentosa","Hillia_triflora_var._pittieri",0.0796807854281441,1,0.140853733860139,0.625534653259053,0.544554455445545,0,0.53440256687032,0.455445544554455,0,0.525188457359315
"Hillia_longifilamentosa","Hillia_triflora_var._triflora",0.592252080425781,0.316831683168317,0.207781678744784,0.750214845831434,0.287128712871287,0,0.846763060990714,0.247524752475248,0.000475692397427835,0.840719116375715
"Hillia_longifilamentosa","Hillia_ulei",0.0812803907203211,0.584158415841584,0.0259203918144896,0.244267780495787,0.514851485148515,0,0.339634468750851,0.455445544554455,0,0.341640809807653
"Hillia_longifilamentosa","Hillia_wurdackii",0.189118725620823,0.900990099009901,0.14958479580183,0.37598371781452,0.0198019801980198,0,0.0812328154702441,0.0099009900990099,0,0.0842266443766506
"Hillia_loranthoides","Hillia_macromeris",0.0730648240441768,0.96039603960396,0.0788479911779935,0.474419821108685,0.356435643564356,0,0.218277201979848,0.297029702970297,0,0.165922664007237
"Hillia_loranthoides","Hillia_macrophylla_SA",0.462158501840063,0.297029702970297,0.319184292672326,0.514541328280449,0.0099009900990099,0,0.22074110340582,0.0099009900990099,0,0.268347500379744
"Hillia_loranthoides","Hillia_macrophylla_CA",0.183241400009664,0.643564356435644,0.0491165976923001,0.514452325534105,0.0891089108910891,0,0.194356896230555,0.0792079207920792,0,0.197758008890146
"Hillia_loranthoides","Hillia_maxonii",0.0790952439816871,0.752475247524752,0.0472644886492129,0.416214565262003,0.336633663366337,0,0.179254363732248,0.396039603960396,0,0.174578898693354
"Hillia_loranthoides","Hillia_palmana",0.415776434774121,0.792079207920792,0.344420184389811,0.617238298825213,0.0099009900990099,0,0.195328934061181,0.0099009900990099,0,0.256719314996489
"Hillia_loranthoides","Hillia_panamensis",0.484030476184888,0.455445544554455,0.250488342167492,0.705598760148731,0.0792079207920792,0,0.510073291014388,0.099009900990099,0,0.590857004628179
"Hillia_loranthoides","Hillia_parasitica",0.0672382564226202,0.99009900990099,0.0972759040554416,0.194897794432391,0.336633663366337,0.000218312294488854,0.211653784608385,0.396039603960396,0.00119965998165748,0.209643963561341
"Hillia_loranthoides","Hillia_pumila",0.217604613438019,0.663366336633663,0.10196112651708,0.437170182107692,0.0693069306930693,0,0.218785039057534,0.0297029702970297,0,0.162601247459058
